hwid,name,available,location,description,brand,model,os,type
90,Sony Ericsson K750i,t,cologne,Handy\n\nBlue-Box-Inhalt:\n- Phone\n- Akku\n- Deckel\n- Aufladekabel,Sony Ericsson,K750i,K Series 7.5,mobile
44,Motorola V9,t,cologne,Handy\n\nBestandteile:\n- Klappe\n- Akku\n- Aufladegerät\n- Datenkabel\n- Mini-USB-zu-Micro-USB-Kabel,Motorola,RAZR V9,SUAPI_C 2.0,mobile
35,Nokia N80,t,cologne,Handy; WLAN-Unterstützung\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- Aufladekabel\n- Datenkabel,Unspecified,Mobile,Series60 3.0,mobile
40,Motorola E1000,t,cologne,Handy\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- Aufladegerät\n,unspecified,unspecified,unspecified,unspecified
23,Nokia E60,t,cologne,WLAN funktioniert leider nichtmehr mit unserem\n\nZubehör:\n\n- Klappe\n- Akku\n- Netzteil\n,Nokia,E60,Series60 3.0,mobile
30,Samsung SGH-Z400,t,cologne,Handy;\nBestandteile:\n- Gerät\n- Akku (gleich Deckel)\n- Aufladekabel\n- Datenkabel\n,Samsung,SGH-Z400,SHP 5.0 2006,mobile
24,HTC VPA compact GPS,t,cologne,Handy; WLAN-Unterstützung\n\nZubehör:\n   * Klappe\n   * Akku\n   * 4 Stifte !\n   * Stiftehalter\n   * Netzteil\n   * Tasche,HTC,Trinity 100,Windows Mobile 5.0,mobile
10,Nokia N96,t,cologne,Das ausgemusterte Handy von Jörg; WLAN-Unterstützung;\nBestandteile:\n- Handy\n- Akku\n- Deckel\n- Datenkabel\n- Aufladekabel,Nokia,N96,Series60 3.2,mobile
50,Samsung V200,t,cologne,Handy,generic,-,Vendor Specific 1.0,unspecified
71,Samsung GT S8300,t,cologne,Handy. Funktioniert nur mit t-mobile-SIMs;\nBestandteile:\n- Gerät\n- Akku\n- Deckel\n- Datenkabel\n- Aufladegerät\n,Samsung,GT-S8300,SHP 5.0 2009,mobile
55,Nokia 6230i,t,cologne,Handy Zubehör: \n\n- Klappe \n- Akku \n- Netzteil \n,Nokia,6230i,Series40 2.0,mobile
86,Sony Ericsson P910i,t,cologne,Handy\n\nZubehör:\n\nDeckel\nAkku\nNetzteil,Sony Ericsson,P910i,Series60 2.0,mobile
66,MDA I,t,cologne,PocketPC; WLAN-Unterstützung\n\nZubehör:\n   * PC-Station\n   * Netzteil,unspecified,unspecified,unspecified,unspecified
41,Motorola K1,t,cologne,Handy. Keine WLAN-Unterstützung.\n\nBlue-Box-Inhalt:\n- Phone\n- Akku\n- Deckel\n,Motorola,KRZR K1,VRTXmc 2.013,mobile
38,Nokia 3510i,t,cologne,Handy\n\nZubehör:\n   1: Klappe\n   2: Akku\n   3: Netzteil,Nokia,3510i,Series40 1.0,mobile
37,Nokia 6230,t,cologne,Handy\n\nZubehör:\n   1: Klappe\n   2: Akku\n   3: Netzteil,Nokia,6230i,Series40 2.0,mobile
64,MDA Vario,t,cologne,Handy.\n\nZubehör:\n   1: Klappe\n   2: Akku\n   3: Netzteil\n   4: USB-Kabel\n   5: 2 Stifte\n   6: Hülle,Unspecified,Windows Mobile (240x320),Windows CE 4.3,mobile
91,Sony Ericsson W950i,t,cologne,Handy;\n\n\nZubehör:\n   * Datenkabel\n   * 2 Stifte (kaputt)\n   * Netzteil\n   * Akku mit Deckel,Sony Ericsson,W950,Series60 3.0,mobile
76,BlackBerry 8707v,t,cologne,Handy\n\nInhalt der Box:\n- Phone\n- Akku\n- Deckel\n- Aufladekabel,unspecified,unspecified,unspecified,unspecified
42,Nokia 6230i LIT,t,cologne,Handy\n\nInhalt der Box:\n- Handy\n- Deckel\n- Akku\n- Stromnetzkabel,Nokia,6230i,Series40 2.0,mobile
54,Samsung SGH-U700,t,cologne,Handy\n\nZubehör:\n   * Akku\n   * Deckel\n   * Datenkabel\n   * Netzstecker,Samsung,SGH-U700,SHP 5.0 2007,mobile
31,Nokia 6310i,t,cologne,Zubehör:\n   * Deckel\n   * Akku\n   * Netzteil,Nokia,6310,Nokia OS 1.0,mobile
34,Nokia 6020 LIT,t,cologne,Handy,Nokia,6020,Series40 2.0,mobile
49,Samsung SGH-F700,t,cologne,Handy. Alias: Qbowl\n\nZubehör:\n   1: USB-Kabel\n   2: Ladegerät\n   3: Klappe\n   4: Akku,Samsung,SGH-F700V,SHP 5.0 2007,mobile
73,BlackBerry 7230,t,cologne,Handy;\n\nZubehör:\n1: Klappe\n2: Akku\n3: Handy\n4: Adapter\n,unspecified,unspecified,unspecified,unspecified
36,Nokia 5610,t,cologne,Handy\n\nZubehör:\n   * Datenkabel\n   * Deckel\n   * Akku,Unspecified,Mobile,Mobile OS 0.0,mobile
29,Nokia 6020,t,cologne,Handy\n\nZubehör:\n   * Akku\n   * Deckel\n   * 2x Netzteil,Nokia,6020,Series40 2.0,mobile
61,Pocket Web 1&1,f,cologne,PocketPC. Laut Karte steht das Gerät in der Vitrine,unspecified,unspecified,unspecified,unspecified
58,LG KU990,t,cologne,Handy,LG,KU990,KU Series 9.0,mobile
5,VideoWeb S500,t,cologne,Receiver\n\nBox:\n\n- Receiver\n- Fernbedienung,generic,-,Vendor Specific 1.0,unspecified
52,Samsung SGH-Z500,t,cologne,Handy.\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Aufladekabel,Samsung,SGH-Z500,SHP 5.0 2005,mobile
87,Sony Ericsson T610,t,cologne,Handy,Sony Ericsson,T610,T Series 6.0,mobile
88,Sony Ericsson T630,t,cologne,Handy,Sony Ericsson,T630,T Series 6.0,mobile
97,Sony Ericsson Z1010,t,cologne,Handy,Sony Ericsson,Z1010,Z Series 10.1,mobile
6,Nintendo Wii,t,cologne,Spielkonsole\n\nBox:\n\n- Konsole\n- Wii-Remote + Schutzhülle\n- Wii-Nunchuk\n- Konsolenstand + Fußplatte\n- Sensorleiste\n- Stromstecker\n- LAN - Adapter\n- SCART-Kabel\n- Audio- / Videokabel\n- Videokabel - Konsole,Nintendo,Wii,WiiLi 0.0,console
99,Sony Ericsson K600i,t,cologne,Handy,Sony Ericsson,K600i,K Series 6.0,mobile
101,Elson Mobistel EL580,t,cologne,Handy,generic,-,Vendor Specific 1.0,unspecified
132,Falk activepilot,t,cologne,Bluetooth GPS Mouse\n\nPass: 0000,unspecified,unspecified,unspecified,unspecified
51,Samsung SGH-E700,t,cologne,Handy.\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel,unspecified,unspecified,unspecified,unspecified
53,Samsung SGH-E840,t,cologne,Handy. Keine WLAN-Unterstützung.\n\nBlue-Box-Inhalt:\n- USB-Kabel\n- Ladegerät\n- Klappe\n- Akku\n,Samsung,SGH-E840,E Series 8.0,mobile
100,Siemens S68,t,cologne,Blue-Box-Inhalt:\n\n- Handy\n- Deckel\n- Akku\n- Aufladekabel,Siemens,S68,S Series 6.0,mobile
582,Palm Pre P160UEU,t,berlin,IMEI: 35582304001570901\nOS: HP webOS 2.1.1\nSeriennummer: W3UE16DB41FA,unspecified,unspecified,unspecified,unspecified
81,HTC Touch,t,cologne,Handy. Alias 'XDA Nova'  'HTC P3450'.\n\nZubehör:\n- Klappe\n- Akku\n- Stift\n- Datenkabel\n\nBemerkungen:\n   * WLAN-Unterstützung\n,HTC,Elf 100,Windows Mobile 6.0,mobile
148,HTC VPA Compact S,t,cologne,Smartphone; WLAN-Unterstützung; Das Handy ist mit dem Ladekabel vom MDA Compact (HID 56) aufladbar.\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- Stift,HTC,Prophet,Windows Mobile 5.0,mobile
135,Motorola V300,t,cologne,Handy,Motorola,V300,SUAPI_C 2.0,mobile
136,Panasonic EB-GD87,t,cologne,Handy,Panasonic,GD87,GD Series 8.0,mobile
112,Samsung GT-B7610,t,cologne,Handy  Alias Omnia Pro\n\nZubehör:\n- Klappe\n- Akku\n- Netzteil\n- USB-Kabel\n- Stift\n\nBemerkungen:\n   * WLAN-Unterstützung,Samsung,GT-B7610,Windows Mobile 6.5,mobile
127,SHARP LC19D1EBK AQUOS (3),t,cologne,Fernseher\n\nZubehör:\n- Fernbedienung,unspecified,unspecified,unspecified,unspecified
138,Samsung SGH-P400,t,cologne,Handy; Kompatible SIM-Karten: Vodafone (SID 3)\n\nBlue-Box-Inhalt:\n- Akku (Deckel)\n- Aufladekabel\n,Samsung,SGH-P400,SGH-P Series 4.0,mobile
105,Nokia X6,t,cologne,Handy.\n\nZubehör:\n   1: Klappe\n   2: Akku\n   3: Netzteil\n   4: USB-Kabel (kurz)\n\nBemerkungen:\n   * WLAN-Unterstützung,Nokia,X6-00,Symbian Platform 1.0,mobile
157,Nokia 6610,t,cologne,Handy; Kompatible SIM-Karten: O2 (SID 6)  Vodafone (SID 3)\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- Aufladekabel,Nokia,6610,Series40 1.0,mobile
114,Motorola Milestone,t,cologne,Handy.\n\nZubehör:\n - Deckel\n - Akku\n - Datenkabel\n - Netzadapter\n\nBemerkungen:\n   * WLAN-Unterstützung\n\nDARF NICHT AUF HÖHERE ANDROID VERSION AKTUALISIERT WERDEN ! REFERENZGERÄT,Motorola,Milestone,Android OS 2.1,mobile
144,Sony Ericsson P800,t,cologne,Handy; Kompatible SIM-Karten: Vodafone (SID 4)\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- Aufladegerät,Sony Ericsson,P800,Series60 2.0,mobile
141,Sharp TM100,t,cologne,Handy\n\nZubehör:\n   * Akku\n   * Deckel\n   * Netzteil\n\nBemerkungen:\n   * Kompatible SIM-Karten: T-Mobile (SID 1),generic,-,Vendor Specific 1.0,unspecified
125,SHARP LC19D1EBK AQUOS (1),t,cologne,Fernseher,unspecified,unspecified,unspecified,unspecified
45,Samsung SGH-D500,t,cologne,Handy\n\nZubehör:\n\nNetzteil\nAkku,Samsung,SGH-D500,SGH-D Series 5.0,mobile
563,Apple iPad Mini 2,t,berlin,iPad Mini 2 16 GB WiFi\n\nDisplaydiagonale\t7.9 Zoll (20 07 cm)\nDisplayauflösung\t2048 x 1536 Pixel\nDPI\t\t\t326\n\nSeriennr.:\t\tDQTLP255FCM8\nVersion:\t\tiOS 7.0.3\n\nUDID:\n\n-Ladegerät,unspecified,unspecified,unspecified,unspecified
126,SHARP LC19D1EBK AQUOS (2),t,cologne,Fernseher,unspecified,unspecified,unspecified,unspecified
153,Nokia 6210,t,cologne,Handy. Kompatible SIM-Karten: O2.\n\nBlue-Box-Inhalt:\n- Phone\n- Akku\n- Aufladekabel,Nokia,6210,Nokia OS 1.0,mobile
158,Nokia 9300,t,cologne,Smartphone; Nokia Mastercode: 4536015433; Kompatible SIM-Karten: Vodafone (SID 3); Keine WLAN-Unterstützung\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- Aufladegerät,Nokia,9300,Series60 2.0,mobile
161,Samsung SGH-Z107,t,cologne,Handy; Kompatible SIM-Karten: T-Mobile (SID 1)\n\nZubehör:\n\n- Deckel (Akku)\n- Netzteil,Samsung,SGH-Z107,SHP 5.0 2003,mobile
107,Sony Ericsson Satio,t,cologne,Handy. Selbst ins Menü kommt man nur mit SIM Karte.\n\nBestandteile:\n- Klappe\n- Akku\n- Handy\n- Aufladekabel\n- Datenkabel\n,Sony Ericsson,Satio,Symbian Platform 1.0,mobile
149,LG HB620T,t,cologne,Handy; Kompatible SIM-Karten: Vodafone (SID 3),LG,HB620T,HB Series 6.0,mobile
139,Nokia 6600 (2),t,cologne,Handy; Kompatible SIM-Karten: T-Mobile (SID 1),Nokia,6600,Series60 2.0,mobile
120,Philips 32 PFL 9604H (2),t,cologne,Fernseher,Unspecified,TV,TV Mips 0.0,tv
111,Nokia N900,t,cologne,Handy; WLAN-Unterstützung\n\nZubehör:\n   * Stift\n   * Deckel\n   * Akku\n   * Aufladekabel,Nokia,N900,Maemo OS 5.0,mobile
130,LG GD880,t,cologne,WLAN-Unterstützung\n\nZubehör:\n * Akku\n * Deckel\n * Ladekabel (USB)\n * Netzteil (USB),LG,GD880,GD Series 8.0,mobile
116,Samsung S8000,t,cologne,Handy. Alias Jet; WLAN-Unterstützung;\nBestandteile des Geräts:\n- Gerät\n- Akku\n- Deckel\n- Aufladekabel\n- Datenkabel,Samsung,S8000,SHP 5.0 2009,mobile
113,HTC HD2,t,cologne,Handy Alias: Leo\n\nZubehör:\n   1: Klappe\n   2: Akku\n   3: Netzteil\n   4: Kabel\n\nBemerkungen:\n   * WLAN-Unterstützung,HTC,HD2,Windows Mobile 6.5,mobile
106,LG BL40 new chocolate,t,cologne,Handy.\n\nZubehör:\n   1: Klappe\n   2: Akku\n   3: Netzadapter\n   4: USB-Kabel,LG,BL40,Unspecified Mobile OS 0.0,mobile
154,Nokia 3200,t,cologne,Handy; Kompatible SIM-Karten: Vodafone (SID 3)\n\nZubehör:\n   1: Klappe\n   2: Akku\n   3: Netzteil,Nokia,3200,Series40 1.0,mobile
140,Sharp GX10i,t,cologne,Handy; Kompatible SIM-Karten: Vodafone (SID 4),Sharp,TQ-GX10,AMX 4.2,mobile
119,Vodafone UMTS-Karte,t,cologne,UMTS-Karte (PCM/CIA) für Laptops incl. Antenne. Einwahl-Nr.: 8530450778404640173 Aktuelle Software hier downloaden: http://tinyurl.com/ykzds4\n\nBestandteile:\n- UMTS-Karte (PCM/CIA)\n- Antenne,unspecified,unspecified,unspecified,unspecified
142,Sony Ericsson P900,t,cologne,Handy; Kompatible SIM-Karten: Vodafone (SID 4),Sony Ericsson,P900,Series60 2.0,mobile
143,Sony Ericsson K300i,t,cologne,Handy: Kompatible SIM-Karten: Vodafone (SID 4),Sony Ericsson,K300i,K Series 3.0,mobile
145,Siemens S65,t,cologne,Handy; Kompatible SIM-Karten: Vodafone (SID 4),Siemens,S65,S Series 6.0,mobile
146,Samsung SGH-E800,t,cologne,Handy; Kompatible SIM-Karten: T-Mobile (SID 1); Das Handy ist mit dem Aufladekabel vom Samsung SGH-P400 (HID 138) aufladbar.,Samsung,SGH-E800,SGH-E Series 8.0,mobile
147,Sony Ericsson V600i,t,cologne,Handy; Kompatible SIM-Karten: Vodafone (SID 4),Sony Ericsson,V600i,V Series 6.0,mobile
155,Nokia 7370,t,cologne,Handy; Kompatible SIM-Karten: Vodafone (SID 3); Das Handy kann mit dem Ladekabel des Handys Nokia N73 (HID 21) aufgeladen werden.,Nokia,7370,Series40 3.0,mobile
156,Sagem myX-6,t,cologne,Handy; Kompatible SIM-Karten: O2 (SID 6),generic,-,Vendor Specific 1.0,unspecified
160,Samsung SGH-E600,t,cologne,Handy; Kompatible SIM-Karten: T-Mobile (SID 1),generic,-,Vendor Specific 1.0,unspecified
56,i-mate MDA Compact JAMin,t,cologne,Handy; WLAN-Unterstützung,HTC,Prophet,Windows Mobile 5.0,mobile
65,MDA Pro Qtek 9000,t,cologne,Handy  PocketPC; WLAN-Unterstützung,Unspecified,Windows Mobile (240x320),Windows CE 4.3,mobile
109,Canon Powershot a95,t,cologne,Digitalkamera\n\nInfo: Befindet sich bei den Admins,unspecified,unspecified,unspecified,unspecified
110,Kodak Easyshare c813,t,cologne,Digitalkamera\n\nInfo: Befindet sich bei den Admins,unspecified,unspecified,unspecified,unspecified
124,Samsung GT-S8500 Wave(1),t,cologne,Testhandy; WLAN-Unterstützung,Samsung,GT-S8500,Bada 1.0,mobile
117,Apple iPod Touch (2),t,cologne,iOS 1.1.5 Referenzgeärt !!!! NICHT AKTUALISIEREN !!\n\n\nPocketPC. Firmware 1.1.5; WLAN-Unterstützung;\n\nBestandteile:\n- Gerät\n- Ladekabel,Apple,iPod Touch,iPhone OS 1.0,mobile
573,Jolla,t,cologne,Handy mit Sailfish OS\n\nIMEI: 359745050110201\n\nZubehör:\n   * Akku\n   * Deckel\n   * Netzadapter\n   * USB-Ladekabel,Jolla Limited,Jolla,Sailfish OS 1.0,mobile
583,Samsung GT-I9100 (Samsung Galaxy S2) (4),t,cologne,Android-Smartphone\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- Stromnetzkabel\n\n\nSaschas Ex-Firmen-Handy,Samsung,GT-I9100 Galaxy S2,Android OS 2.33,mobile
152,HTC Tornado Noble (Alias: VDA II)(2),t,cologne,Smartphone; Unterstützte SIM-Karten: Vodafonen (SID 3);\nWLAN-Unterstützung (jedoch ohne WPA2-Verschlüsselung)\nDas Handy kann man mit dem Aufladegerät des Geräts mit der HID 151.\n\n\nZubehör:\n\n- Phone\n- Deckel\n- Akku\n- Hülle,HTC,Tornado Noble,Windows Mobile 5.0,mobile
301,HTC Tattoo,t,berlin,IMEI: 358355021344508\nSeriennummer: HT9A6BG00518\nVersion: Android 1.6,HTC,Tattoo,Android OS 1.6,mobile
164,Nokia 7250,t,cologne,Handy; Kompatible SIM-Karten: Vodafone (SID 3),Nokia,7250,Nokia OS 1.0,mobile
171,Samsung GT-I5700 (Galaxy Spica),t,cologne,Smartphone; WLAN-Unterstützung;\n\nZubehör:\n   * Deckel\n   * Akku\n   * Datenkabel (USB)\n   * Aufladekabel\n\n\nDARF NICHT AUF HÖHERE ANDROID VERSION AKTUALISIERT WERDEN ! REFERENZGERÄT,Samsung,GT-I5700,Android OS 2.1,mobile
150,HTC VPA Compact,t,cologne,Smartphone; \n\nZubehör:\n   1: Klappe\n   2: Akku\n   3: Stift\n\nBemerkungen:\n   * WLAN-Unterstützung\n   * Das Handy ist mit dem Ladekabel vom MDA Compact (HID 56) aufladbar.,HTC,Trinity 100,Windows Mobile 5.0,mobile
92,HTC Diamond,t,cologne,Handy; \n\nZubehör:\n   1: Klappe\n   2: Akku\n   3: Stift\n   4: Netzteil\n   5: Kabel\n\nBemerkungen:\n   * WLAN-Unterstützung,HTC,P3700,Windows Mobile 6.1,mobile
170,BlackBerry Curve 8520,t,cologne,Smartphone; WLAN-Unterstützung; \n\nBemerkungen:\nleichter Schattenfleck auf dem Display wenn man es seitlich kippt (aufgefallen 19.9.2011) markus\n\nBestandteile:\n- Handy\n- Deckel\n- Akku\n- Aufladekabel\n- Datenkabel,Research In Motion,BlackBerry 8520,BlackBerry OS 4.0,mobile
47,Nokia 6280,t,cologne,Handy.\n\nZubehör:\n   1: USB-Kabel\n   2: Ladegerät\n   3: Klappe\n   4: Akku,Nokia,6280,Series40 3.0,mobile
67,MDA III,t,cologne,PocketPC;\n\nZubehör:\n   1: Akku\n   2: Netzteil\n   3: Netzteiladapter\n   4: PC-Station\n   5: Stift (Nicht der originale)\n\nBemerkungen:\n   * WLAN-Unterstützung nicht für das 7valGuestLan\n   * Funktioniert nur mit T-Mobile Simkarten,Unspecified,Windows Mobile (240x320),Windows CE 4.3,mobile
74,Sony Ericsson C905,t,cologne,Handy.\n\nZubehör:\n   1: Klappe\n   2: Akku\n   3: Netzteil\n\n\nBemerkungen:\n   * WLAN-Unterstützung\n   * funktioniert nur mit Vodafone-Karte\n,Sony Ericsson,C905,C Series 9.0,mobile
159,HTC Sonata,t,cologne,Smartphone; \n\nBemerkungen:\n   * Unterstützte SIM-Karten: Vodafonen (SID 3);\n   * Das Handy kann man mit dem Aufladegerät des Geräts mit der HID 151 aufladen.\n\nZubehör:\n   * Deckel\n   * Akku,HTC,Sonata,Windows CE 4.3,mobile
79,BlackBerry 9500 Storm,t,cologne,Handy;\nBestandteile:\n- Deckel\n- Akku\n- Ladekabel(USB)\n\nInformationen:\n   * Funktioniert nur mit Vodafone-SIM (SID #3) bzw. einer Vodafone-SIM mit Blackberry-Option\n   * Kennwort: 8809\n\n,Research In Motion,BlackBerry 9500,BlackBerry OS 4.0,mobile
564,HTC One,t,berlin,IMEI: 354436050589421\nSeriennummer: FA33XW901692\nVersion: Android 4.2.2,unspecified,unspecified,unspecified,unspecified
83,LG KS20,t,cologne,Handy;\n\nBemerkungen:\n   * WLAN Unterstützung\n\nZubehör:\n   * Stift\n   * Netzteil\n   * Akku mit Deckel\n   * Tasche,LG,KS20,Windows Mobile 6.0,mobile
95,Sony Ericsson X1i,t,cologne,Handy; WLAN-Unterstützung\n\nZubehör:\n- Akku\n- Deckel\n- Netzteil\n- USB-Kabel\n- Stift\n,Sony Ericsson,X1i,Windows Mobile 6.0,mobile
98,Sony Ericsson K800i,t,cologne,Handy.\n\nZubehör:\n   1: Klappe\n   2: Akku\n   3: Kabel\n   4: Netzteil\n,Sony Ericsson,K800i,K Series 8.0,mobile
72,HTC MDA Compact V,t,cologne,Handy.\n\nZubehör:\n   * Klappe\n   * Akku\n   * Netzteil\n   * Kabel(USB)\n   * Stift\n\nBemerkungen:\n   * WLAN-Unterstützung\n   * Ecke oben rechts abgebrochen (27.10.10 bemerkt von Markus),HTC,MDA Compact V,Windows Mobile 6.1,mobile
63,BlackBerry Curve 8310 (2),t,cologne,Handy\n\nZubehör:\n   * Akku\n   * Deckel\n   * Netzteil\n   * Kabel,Research In Motion,BlackBerry 8310,BlackBerry OS 2.7,mobile
123,Kodak Zi8,t,cologne,Pocket-Videokamera.\n\nZubehör:\n   * HDMI Kabel\n   * Akku\n   * Deckel\n   * Stromadapter\n   * Strom2USB Kabel\n   * Audio Kabel\n   * 2GB SD\n   * 16GB SDHC,unspecified,unspecified,unspecified,unspecified
165,Nokia 6680,t,cologne,Kompatible SIM-Karten: Base;\n\nDas Handy kann mit dem Aufladekabel der Handys #37 und #164 aufgeladen werden.\n\nZubehör:\n\nDeckel\nAkku,Nokia,6680,Series60 2.6,mobile
26,Nokia E71,t,cologne,Handy;\n\nBemerkungen:\n   * WLAN-Unterstützung\n\nZubehör:\n   * Deckel\n   * Akku\n   * Datenkabel\n   * Netzteil,Nokia,E71,Series60 3.1,mobile
85,Nokia 5800 XpressMusic,t,cologne,Handy;\n\nBemerkungen:\n   * WLAN Unterstützung\n\nZubehör:\n   * Datenkabel\n   * Stift\n   * Netzteil\n   * Akku mit Deckel,Nokia,5800 XpressMusic,Symbian Platform 1.0,mobile
169,Samsung GT-S8500 Wave(2),t,cologne,Smartphone; WLAN-Unterstützung;\nBestandteile:\n- Gerät\n- Deckel\n- Akku\n- Datenkabel\n- Aufladekabel\n\nBemerkungen:\n\n    * Kleine Risse am unteren Gehäuse-Rand\n,Samsung,GT-S8500,Bada 1.2,mobile
82,HTC G1,t,cologne,Handy. Alias Dream. \n\nZubehör:\n   1: Kabel\n   2: Klappe\n   3: Akku\n\nBemerkungen:\n   * SIM-Lock auf t-mobile. \n   * Android Betriebssystem. \n   * ACHTUNG: Das USB-Kabel muss vorsichtig behandelt werden. \n   * Anleitung: http://member.america.htc.com/download/web_materials/Manual/HTC_Dream/091210_Dream_HTC_Asia_English_UM.pdf;    \n   * WLAN-Unterstützung,HTC,Dream,Android OS 1.6,mobile
89,Sony Ericsson P1i,t,cologne,Handy\n\nBlue-Box:\n\n- Handy\n- Akku\n- Deckel\n- Stift\n- Schutzhülle\n- Support-Karte\n- Kopfhörer\n- USB-Ladekabel\n- Netzkabel (2 x)\n- Dockingstation,Sony Ericsson,P1i,Series60 3.0,mobile
22,Nokia 6600,t,cologne,Handy\n\nBestandteile:\n- Handy\n- Klappe\n- Akku\n- Aufladekabel\n- Hülle,Nokia,6600,Series60 2.0,mobile
173,Nokia N8,t,cologne,Smartphone. Unterstützt Wlan.\n\nBestandteile:\n- Handy\n- Aufladekabel\n- Datenkabel,Nokia,N8,Symbian Platform 3.0,mobile
168,HTC Desire,t,cologne,Smartphone;\n\nBemerkungen:\n   * WLAN-Unterstützung\n\nZubehör:\n  * Deckel\n  * Akku\n  * Datenkabel\n  * Stromnetzadapter\n,HTC,Desire,Android OS 2.22,mobile
21,Nokia N73,t,cologne,Handy;\n\nBestandteile:\n- Akku\n- Deckel\n- Ladekabel\n\n\n,Unspecified,Mobile,Series60 3.0,mobile
39,Motorola V3 Razr,t,cologne,Handy\n\nZubehör:\n- Klappe\n- Akku\n- Aufladekabel\n- Datenkabel\n\n\n\nBemerkungen:\n   * funktioniert nur mit der T-D1 Karte,Motorola,RAZR V3,VRTXmc 2.013,mobile
19,Nokia 6300,t,cologne,Handy.\n\nZubehör:\n   * Deckel\n   * Akku,Nokia,6300,Series40 3.2,mobile
93,BlackBerry 8110,t,cologne,Handy. \n\nBemerkungen:\n   * Schlüsselspeicher-Kennwort für die Zertifikate: 7val.\n   * KEINE WLAN-Unterstützung\n   * Läuft sowohl mit Vodafone als auch mit T-Mobile-Karten\n\nZubehör:\n- Deckel\n- Akku\n- Netzteil,Research In Motion,BlackBerry 8110,BlackBerry OS 2.6,mobile
184,Nokia 2700c,t,cologne,Handy\n\nBestandteile:\n- Handy\n- Klappe\n- Aufladegekabel\n,Nokia,2700c,Series40 5.1,mobile
391,Apple iPod 3G (3),f,berlin,,unspecified,unspecified,unspecified,unspecified
258,BlackBerry Playbook (2),t,cologne,Tablet 7 Zoll. WLAN wird unterstützt.\n\nZubehör:\n- Aufladekabel\n- Hülle,Research In Motion,BlackBerry PlayBook,BlackBerry Tablet OS 2.10,tablet
167,DELL Streak,t,cologne,Tablet-PC;\nAndroid 2.2.2\n\nZubehör:\n\n- Deckel\n- Akku\n- Datenkabel\n- Aufladegerät\n\n,Dell,Streak,Android OS 2.22,tablet
379,Apple iPhone 4S (1) (16GB),t,berlin,IMEI: 013004002083001\nSeriennummer: DNQGK8VXDTD2\nVersion: iOS 5.1,Apple,iPhone,iOS 5.1,mobile
